"Value Research Online"
"Date: 15-Jul-2015 13:36"
"Fund","Rating","1-Month Return","1-Month Rank","3-Month Return","3-Month Rank","1-Year Return","1-Year Rank","3-Year Return","3-Year Rank","5-Year Return","5-Year Rank","10-Year Return","10-Year Rank"
"Franklin India Opportunities Fund","* * * ","5.89","102/135","-2.25","83/135","37.4","5/125","26.55","11/66","13.97","20/61","15.74","25/27"
"Franklin India Prima Fund","* * * * ","6.45","90/114","-1.26","48/114","41.16","39/112","36.36","11/52","19.93","14/48","17.77","12/20"
"Franklin India Prima Plus Fund","* * * * * ","5.94","100/135","-1.43","46/135","36.22","6/125","27.59","4/66","16.83","1/61","20.21","1/27"
"Franklin India Smaller Companies Fund","* * * * * ","6.88","85/114","-2.19","84/114","41.31","37/112","41.46","2/52","22.24","4/48","-","-"
"Franklin India Taxshield Fund","* * * * * ","6.49","54/75","-1.4","30/75","36.27","12/73","27.14","9/37","17.47","4/36","18.84","2/19"
"Franklin Infotech Fund","Unrated","0.38","10/10","-6.95","3/10","15.95","8/10","23.36","5/5","14.25","3/5","14.61","4/5"
"Goldman Sachs Banking BeES Fund","* * * ","7.57","13/29","0.81","13/29","30.23","8/23","20.92","5/13","13.73","5/10","17.85","2/3"
"Goldman Sachs CNX 500 Fund","* * ","6.77","59/135","-3.49","109/135","16.53","106/125","18.6","57/66","9.07","55/61","-","-"
"Goldman Sachs CNX Nifty Shariah BeES Fund","Unrated","7.06","25/147","-1.14","13/145","16.37","67/143","19.29","28/75","9.14","51/64","-","-"
"Goldman Sachs CPSE Exchange Traded Fund","Unrated","3.19","143/147","-0.54","6/145","0.48","143/143","-","-","-","-","-","-"
"Goldman Sachs Hang Seng BeES Fund","Unrated","-8.01","-","-7.73","-","15.65","-","17.49","-","13.25","-","-","-"
"Goldman Sachs India Equity Fund","Unrated","9.22","2/61","-0.85","23/61","37.15","6/56","-","-","-","-","-","-"
"Goldman Sachs Infra BeES Fund","* ","6.39","37/43","-3.14","33/43","6.28","43/43","11.81","21/22","-","-","-","-"
"Goldman Sachs Nifty ETS Fund","* * * ","6.14","66/147","-3.79","101/145","14.42","85/143","17.64","52/75","10.05","36/64","15.34","16/34"
"Goldman Sachs Nifty Junior BeES Fund","* * * ","8.67","5/61","-0.04","10/61","29.83","20/56","26.02","7/28","12.37","13/26","15.89","9/15"
"Goldman Sachs PSU Bank BeES Fund","* * ","6.82","24/29","-7.36","29/29","-1","22/23","2.58","12/13","-0.65","9/10","-","-"
"HDFC Capital Builder Fund","* * * ","6.23","92/135","-2.57","94/135","24.42","76/125","24.57","27/66","13.95","21/61","17.62","14/27"
"HDFC Core & Satellite Fund","* ","7.72","28/61","-0.94","25/61","14.89","56/56","19.12","24/28","9.45","25/26","15.74","10/15"
"HDFC Equity Fund","* * ","6.17","93/135","-3.39","107/135","16.55","105/125","22.24","39/66","12.84","33/61","20.18","3/27"
"HDFC Growth Fund","* * ","6.86","55/135","-2.26","84/135","16.27","108/125","17.09","59/66","10.31","44/61","17.92","11/27"
"HDFC Index Fund - Nifty Plan","* * * ","6.02","90/147","-3.63","90/145","14.32","88/143","18.12","45/75","9.65","41/64","13.19","27/34"
"HDFC Index Fund - Sensex Plan","* * * ","5.88","107/147","-3.06","65/145","12.68","128/143","18.35","41/75","9.8","39/64","13.38","26/34"
"HDFC Index Fund - Sensex Plus Plan","* * * ","6","94/147","-3.1","67/145","14.38","86/143","18.5","38/75","11.21","21/64","16.53","10/34"
"HDFC Infrastructure Fund","* * * ","8.49","14/43","-7.03","43/43","17.02","34/43","17.94","12/22","6.38","9/20","-","-"
"HDFC Large Cap Fund - Regular Plan","Unrated","4.81","134/147","-2.46","34/145","13.87","103/143","17.97","49/75","8.25","63/64","12.65","28/34"
"HDFC Long Term Advantage Fund","* * * ","3.96","72/75","-4.47","70/75","13.98","71/73","21.44","31/37","12.92","19/36","15.43","10/19"
"HDFC Mid-Cap Opportunities Fund","* * * * ","5.88","103/114","-1.4","56/114","36.8","63/112","32.38","26/52","21.12","8/48","-","-"
"HDFC Premier Multi-Cap Fund","* ","6.74","40/61","-1.93","41/61","17.36","50/56","19.32","23/28","9.6","24/26","14.96","13/15"
"HDFC Small and Mid Cap Fund - Regular Plan","Unrated","7.29","75/114","-2.96","96/114","27.6","96/112","24.67","45/52","12.54","42/48","-","-"
"HDFC Taxsaver Fund","* * ","5.66","67/75","-4.64","73/75","15.84","68/73","22.15","26/37","12.23","22/36","16.82","8/19"
"HDFC Top 200 Fund","* * * ","6.35","46/147","-3.55","88/145","14.84","78/143","19.97","24/75","11.76","17/64","19.65","1/34"
"HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Regular Plan","Unrated","-4.61","-","-5.22","-","-2.73","-","-","-","-","-","-","-"
"HSBC Brazil Fund","Unrated","-1.76","-","-2.81","-","-33.57","-","-9.97","-","-","-","-","-"
"HSBC Dividend Yield Equity Fund","* ","4.18","127/135","-4.18","123/135","14.77","112/125","16.75","62/66","9.22","53/61","-","-"
"HSBC Dynamic Fund","* ","4.74","136/147","-1.04","9/145","13.34","113/143","13.45","73/75","7.35","64/64","-","-"
"HSBC Emerging Markets Fund","Unrated","-6.27","-","-9.07","-","-7.21","-","5.63","-","3.99","-","-","-"
"HSBC Equity Fund","* ","5.67","119/147","-3","60/145","12.36","129/143","16.77","68/75","8.75","59/64","14.67","18/34"
"HSBC Global Consumer Opportunities Fund - Regular Plan","Unrated","-2.24","-","-0.49","-","-","-","-","-","-","-","-","-"
"HSBC India Opportunities Fund","* * * * ","5.6","111/135","-2.88","98/135","23.36","91/125","23.86","30/66","14.45","14/61","16.46","20/27"
"HSBC Midcap Equity Fund","* ","8.86","46/114","-0.51","36/114","35.2","74/112","29.27","36/52","11.39","44/48","13.29","19/20"
"HSBC Progressive Themes Fund","* ","9.27","31/114","-1.28","51/114","30.07","84/112","21.45","49/52","7.11","48/48","-","-"
"HSBC Tax Saver Equity Fund","* * * ","6.78","43/75","-1.49","32/75","21.61","60/73","24.22","16/37","13.54","14/36","-","-"
"ICICI Prudential Advisor Series - Very Aggressive Plan - Regular Plan","Unrated","2.53","145/147","-1.08","11/145","12.98","122/143","12.73","75/75","8.81","58/64","13.92","21/34"
"ICICI Prudential Banking and Financial Services Fund - Regular Plan","* * * * * ","10.09","2/29","3.57","2/29","32.16","6/23","29.06","1/13","18.46","1/10","-","-"
"ICICI Prudential CNX 100 ETF Fund","Unrated","6.43","41/147","-3.19","71/145","16.6","65/143","-","-","-","-","-","-"
"ICICI Prudential Dividend Yield Equity Fund - Regular Plan","Unrated","6.66","46/61","-0.96","28/61","15.54","55/56","-","-","-","-","-","-"
"ICICI Prudential Dynamic Fund - Regular Plan","* * * ","1.33","135/135","-6.4","132/135","11.59","119/125","20.45","49/66","12.71","36/61","19.1","6/27"
"ICICI Prudential Exports and Other Services Fund - Regular Plan","Unrated","8.25","-","-2.25","-","40.6","-","40.63","-","21.74","-","-","-"
"ICICI Prudential FMCG Fund - Regular Plan","Unrated","6.24","2/4","-4.51","4/4","26.5","2/4","20.17","2/2","21.26","2/2","21.35","1/2"
"ICICI Prudential Focused Bluechip Equity Fund - Regular Plan","* * * * * ","5.64","120/147","-2.98","59/145","19.6","48/143","22.56","9/75","14.69","3/64","-","-"
"ICICI Prudential Global Stable Equity Fund - Regular Plan","Unrated","-0.17","-","1.28","-","9.99","-","-","-","-","-","-","-"
"ICICI Prudential Index Fund - Regular Plan","* * * ","6.07","75/147","-3.87","107/145","13.86","104/143","18.02","47/75","10.06","35/64","15.69","12/34"
"ICICI Prudential Indo Asia Equity Fund - Regular Plan","* * * * * ","2.24","131/135","-2.19","80/135","24.88","70/125","26.09","14/66","16.24","5/61","-","-"
"ICICI Prudential Infrastructure Fund - Regular Plan","* * * ","7.7","23/43","-1.89","21/43","19.91","29/43","19.98","8/22","7.78","8/20","-","-"
"ICICI Prudential Midcap Fund - Regular Plan","* * * ","9.08","41/114","-0.21","31/114","36.34","66/112","33.6","22/52","16.09","32/48","17.43","14/20"
"ICICI Prudential Nifty ETF Fund","Unrated","6.14","62/147","-3.76","98/145","14.37","87/143","-","-","-","-","-","-"
"ICICI Prudential Nifty Junior Index Fund","* * * ","8.63","8/61","-0.45","16/61","28.89","24/56","25.36","10/28","11.8","17/26","-","-"
"ICICI Prudential Select Large Cap Fund - Regular Plan","* * * ","3.56","142/147","-4.81","133/145","15.96","70/143","20.24","21/75","11.63","19/64","-","-"
"ICICI Prudential SPIcE Fund","Unrated","5.95","100/147","-3.14","69/145","12.74","127/143","18.56","36/75","10.83","27/64","15.59","13/34"
"ICICI Prudential Tax Plan - Regular Plan","* * * * ","5.39","70/75","-3.53","56/75","20.64","64/73","25.66","13/37","14.9","9/36","16.83","7/19"
"ICICI Prudential Technology Fund - Regular Plan","Unrated","1.16","6/10","-7.76","6/10","18.38","4/10","29.94","1/5","20.29","1/5","17.2","1/5"
"ICICI Prudential Top 100 Fund - Regular Plan","* * * * ","1.41","147/147","-7.14","145/145","10.64","140/143","19.79","26/75","12.84","7/64","16.81","9/34"
"ICICI Prudential Top 200 Fund - Regular Plan","* * * ","6.75","61/135","0.57","7/135","25.71","61/125","25.04","23/66","13.67","23/61","17.28","16/27"
"ICICI Prudential US Bluechip Equity Fund","Unrated","1.17","-","1.85","-","9.67","-","21.79","-","-","-","-","-"
"ICICI Prudential Value Discovery Fund - Regular Plan","* * * * ","4","110/114","-3.67","103/114","32.04","79/112","31.9","28/52","19.69","16/48","21.8","2/20"
"IDBI Diversified Equity Fund - Regular Plan","Unrated","5.99","99/114","-2.64","91/114","40.53","44/112","-","-","-","-","-","-"
"IDBI Equity Advantage Fund - Regular Plan","Unrated","9.38","2/75","-1.46","31/75","44.09","2/73","-","-","-","-","-","-"
"IDBI India Top 100 Equity Fund","* * * * * ","7.68","13/147","-1.97","25/145","30.03","2/143","24.13","1/75","-","-","-","-"
"IDBI Nifty Index Fund","* ","6.06","77/147","-4.06","124/145","12.76","126/143","17.2","61/75","9.16","50/64","-","-"
"IDBI Nifty Junior Index Fund","* * * ","8.55","11/61","-0.29","13/61","28.24","25/56","25.21","12/28","-","-","-","-"
"IDFC Classic Equity Fund - Regular Plan","* * ","6.43","82/135","-3.84","118/135","23.56","89/125","19.88","52/66","9.54","51/61","-","-"
"IDFC Equity Fund - Regular Plan","* * * ","5.03","129/147","-4.98","134/145","13.1","120/143","17.15","64/75","9.9","38/64","-","-"
"IDFC Imperial Equity Fund - Regular Plan","* ","4.9","131/147","-4.14","126/145","16.08","69/143","16.03","71/75","8.28","62/64","-","-"
"IDFC Infrastructure Fund - Regular Plan","* * ","10.4","3/43","-0.58","11/43","25.34","16/43","13.43","19/22","-","-","-","-"
"IDFC Nifty Fund - Regular Plan","* * * ","6.04","81/147","-3.95","118/145","14.1","98/143","18.23","43/75","10.5","28/64","-","-"
"IDFC Premier Equity Fund - Regular Plan","* * * ","6.32","93/114","-4.79","111/114","35.55","71/112","30.22","33/52","19.16","18/48","-","-"
"IDFC Sterling Equity Fund - Regular Plan","* * * ","5.67","108/114","-4.1","108/114","30.24","83/112","25.06","43/52","15.48","33/48","-","-"
"IDFC Tax Advantage (ELSS) Fund - Regular Plan","* * * * * ","6.61","52/75","-0.82","13/75","35.46","15/73","29.45","4/37","16.67","5/36","-","-"
"IIFL India Growth Fund - Regular Plan","Unrated","5.47","113/135","-4.32","124/135","-","-","-","-","-","-","-","-"
"IIFL Nifty ETF Fund","* * * ","6.15","59/147","-3.7","93/145","14.61","82/143","18.76","35/75","-","-","-","-"
"Indiabulls Bluechip Fund","* ","10.07","3/147","-3.29","77/145","18.61","54/143","16.79","67/75","-","-","-","-"
"JM Basic Fund","Unrated","6.59","-","-0.64","-","28.52","-","22.85","-","4.25","-","7.92","-"
"JM Core 11 Fund","* ","4.31","125/135","-2.17","78/135","20.39","100/125","21.44","43/66","4.59","61/61","-","-"
"JM Equity Fund","* * ","4.9","132/147","-3.28","75/145","24.69","26/143","20.82","16/75","8.88","57/64","9.93","34/34"
"JM Multi Strategy Fund","* ","8.74","3/135","2.37","4/135","30.4","28/125","25.91","15/66","8.72","58/61","-","-"
"JM Tax Gain Fund","* * ","7.36","28/75","1.32","4/75","29.52","32/73","27.26","8/37","10.04","35/36","-","-"
"JP Morgan Emerging Markets Opportunities Equity Offshore Fund - Regular Plan","Unrated","-4.75","-","-8.88","-","-4.25","-","-","-","-","-","-","-"
"JP Morgan Europe Dynamic Equity Offshore Fund - Regular Plan","Unrated","-0.05","-","3.25","-","3.55","-","-","-","-","-","-","-"
"JP Morgan India Economic Resurgence Fund - Regular Plan","Unrated","8.69","4/135","-0.36","14/135","-","-","-","-","-","-","-","-"
"JP Morgan India Equity Fund","* * * * ","7.1","24/147","-2.44","32/145","26.28","14/143","22.36","10/75","12.77","8/64","-","-"
"JP Morgan India Mid and Small Cap Fund","* * * * ","8.01","63/114","-0.79","39/114","44.58","26/112","37.71","8/52","21.05","9/48","-","-"
"JP Morgan India Tax Advantage Fund","* * * ","7.38","27/75","-1.88","36/75","27.58","39/73","22.29","25/37","12.76","20/36","-","-"
"JP Morgan India Top 100 Fund - Regular Plan","Unrated","6.2","51/147","-3.4","83/145","22.28","37/143","-","-","-","-","-","-"
"JP Morgan JF ASEAN Equity Off-shore Fund","Unrated","-1.91","-","-4.99","-","-3.88","-","8.83","-","-","-","-","-"
"JP Morgan JF Greater China Equity Off-shore Fund","Unrated","-8.59","-","-8.02","-","13.38","-","19.01","-","14.43","-","-","-"
"JP Morgan US Value Equity Off-shore Fund - Regular Plan","Unrated","-0.59","-","1.45","-","11.39","-","-","-","-","-","-","-"
