"Value Research Online"
"Date: 28-Jul-2015 14:48"
"Fund","Rating","1-Month Return","1-Month Rank","3-Month Return","3-Month Rank","1-Year Return","1-Year Rank","3-Year Return","3-Year Rank","5-Year Return","5-Year Rank","10-Year Return","10-Year Rank"
"DSP BlackRock Technology.com Fund - Regular Plan","Unrated","1.52","6/10","6.63","4/10","13.75","9/10","26","4/5","9.46","5/5","15.94","2/5"
"DSP BlackRock Top 100 Equity Fund - Regular Plan","* * * ","2.62","6/148","5.32","27/145","12.27","58/143","19.32","35/75","11.15","20/64","18.05","2/35"
"DSP BlackRock US Flexible Equity Fund","Unrated","-1.96","-","-2.09","-","9.08","-","-","-","-","-","-","-"
"DSP BlackRock World Agriculture Fund","Unrated","-4.82","-","-1.82","-","0.06","-","7.8","-","-","-","-","-"
"DSP BlackRock World Energy Fund - Regular Plan","Unrated","-10.7","-","-16.84","-","-23.96","-","1.06","-","4.25","-","-","-"
"DSP BlackRock World Gold Fund - Regular Plan","Unrated","-16.18","-","-20.01","-","-34.9","-","-21.52","-","-12.31","-","-","-"
"DSP BlackRock World Mining Fund - Regular Plan","Unrated","-17.03","-","-22.85","-","-42.29","-","-16.22","-","-10.78","-","-","-"
"DWS Alpha Equity Fund","* * * * ","0.56","60/148","4.48","49/145","18.03","34/143","22.93","7/75","10.55","24/64","16.19","9/35"
"DWS Global Agribusiness Offshore Fund","Unrated","-6.57","-","-6.24","-","-5.15","-","4.82","-","8.98","-","-","-"
"DWS Investment Opportunity Fund","* * ","1.01","69/135","5.04","72/135","18.12","88/125","21.83","45/66","8.73","56/61","15.78","21/28"
"DWS Tax Saving Fund","* * ","1.13","48/75","5.44","47/75","18.86","50/73","23.71","21/37","9.77","35/36","-","-"
"DWS Top Euroland Offshore Fund","Unrated","-2.86","-","-0.46","-","2.87","-","11.97","-","10.21","-","-","-"
"Edelweiss Diversified Growth Equity Top 100 Fund","* * * * ","0.27","108/135","5.15","69/135","20.68","57/125","24.04","32/66","13.79","19/61","-","-"
"Edelweiss ELSS Fund","* * * * ","1.55","32/75","7.11","20/75","26.3","25/73","26.24","13/37","13.98","11/36","-","-"
"Edelweiss Exchange Traded Scheme-Nifty (Nifty EES)","Unrated","0.02","79/148","-","-","-","-","-","-","-","-","-","-"
"Edelweiss Select Midcap Fund","* * * ","3.39","45/114","7.87","58/114","31.1","70/112","30.98","34/52","-","-","-","-"
"Edelweiss Value Opportunities Fund","Unrated","2.27","17/135","5.77","55/135","18.56","82/125","16.98","61/66","9.95","45/61","-","-"
"Escorts Growth Fund","* ","3.55","41/114","6.28","84/114","23.54","92/112","28.4","40/52","10.18","46/48","13.78","18/20"
"Escorts High Yield Equity Fund","Unrated","4.27","29/114","6.49","79/114","40.6","20/112","28.83","39/52","14.12","39/48","-","-"
"Escorts Infrastructure Fund","Unrated","2.81","17/43","1.1","41/43","4.98","42/43","13.52","21/22","-4.67","20/20","-","-"
"Escorts Leading Sectors Fund","Unrated","1.84","92/114","6.14","88/114","37.72","33/112","33.78","27/52","14.96","34/48","-","-"
"Escorts Power & Energy Fund","Unrated","5.85","-","8.01","-","17.02","-","20.03","-","0.37","-","-","-"
"Escorts Tax Plan","Unrated","0.42","56/75","0.77","73/75","26.68","22/73","18.98","37/37","2.84","36/36","8.67","19/19"
"Franklin Asian Equity Fund","Unrated","-5.87","-","-10.63","-","-0.52","-","10.48","-","8.66","-","-","-"
"Franklin Build India Fund","* * * * * ","0.64","38/43","3.68","34/43","40.41","2/43","37.9","1/22","19.08","1/20","-","-"
"Franklin India Bluechip Fund","* * * * ","0.91","52/148","4.71","42/145","19.29","19/143","20.48","24/75","12.2","10/64","17.39","4/35"
"Franklin India Feeder - Franklin European Growth Fund","Unrated","-3.12","-","0.07","-","-6.26","-","-","-","-","-","-","-"
"Franklin India Feeder Franklin US Opportunities Fund","Unrated","0.98","-","1.76","-","20.93","-","23.82","-","-","-","-","-"
"Franklin India Flexi Cap Fund","* * * * * ","0.77","85/135","4.87","79/135","25.92","22/125","28.11","4/66","15.22","7/61","18.54","5/28"
"Franklin India High Growth Companies Fund","* * * * * ","0.61","54/61","3.67","54/61","35.37","2/56","35.89","1/28","18.9","1/26","-","-"
"Franklin India Index Fund - NSE Nifty Plan","* * ","0","85/148","2.47","86/145","7.87","107/143","18.06","55/75","9.14","44/64","13.68","21/35"
"Franklin India Life Stage Fund of Funds 20s","* * * ","1.28","58/135","4.71","84/135","19.52","68/125","20.25","52/66","12.58","34/61","15.65","23/28"
